"LBX187LA.Code.or.Value","LBX187LA.Value.Description","LBX187LA.Count","LBX187LA.Cumulative","LBX187LA.Skip.to.Item"
"0.06 to 158","Range of Values",1889,1889,NA
".","Missing",396,2285,NA
