"SSEBVIND.Code.or.Value","SSEBVIND.Value.Description","SSEBVIND.Count","SSEBVIND.Cumulative","SSEBVIND.Skip.to.Item"
"0 to 7.98","Range of Values",1879,1879,NA
".","Missing",2,1881,NA
