"PSQ100A.Code.or.Value","PSQ100A.Value.Description","PSQ100A.Count","PSQ100A.Cumulative","PSQ100A.Skip.to.Item"
"1","Yes",11,11,NA
"2","No",2,13,NA
"7","Refused",0,13,NA
"9","Don't know",0,13,NA
".","Missing",39,52,NA
