"LBXMS2.Code.or.Value","LBXMS2.Value.Description","LBXMS2.Count","LBXMS2.Cumulative","LBXMS2.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",0,0,NA
".","Missing",9179,9179,NA
