"BIXC582K.Code.or.Value","BIXC582K.Value.Description","BIXC582K.Count","BIXC582K.Cumulative","BIXC582K.Skip.to.Item"
"14.76 to 651.41","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
