"LBXBR1LA.Code.or.Value","LBXBR1LA.Value.Description","LBXBR1LA.Count","LBXBR1LA.Cumulative","LBXBR1LA.Skip.to.Item"
"0.1 to 20.6","Range of Values",1992,1992,NA
".","Missing",345,2337,NA
