"LBX052.Code.or.Value","LBX052.Value.Description","LBX052.Count","LBX052.Cumulative","LBX052.Skip.to.Item"
"0.0025 to 0.7638","Range of Values",1897,1897,NA
".","Missing",388,2285,NA
