"SSBR7.Code.or.Value","SSBR7.Value.Description","SSBR7.Count","SSBR7.Cumulative","SSBR7.Skip.to.Item"
"3.8 to 37.6","Range of Values",78,78,NA
".","Missing",0,78,NA
