"WBXP052.Code.or.Value","WBXP052.Value.Description","WBXP052.Count","WBXP052.Cumulative","WBXP052.Skip.to.Item"
"-92.3726 to 156.4154","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
