"WBXP013.Code.or.Value","WBXP013.Value.Description","WBXP013.Count","WBXP013.Cumulative","WBXP013.Skip.to.Item"
"-176.2444 to 147.4406","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
