"CIQP63.Code.or.Value","CIQP63.Value.Description","CIQP63.Count","CIQP63.Cumulative","CIQP63.Skip.to.Item"
"0 to 265","Range of Values",35,35,NA
"777","Refused",0,35,NA
"999","Don't know",0,35,NA
".","Missing",815,850,NA
