"DIQ300D.Code.or.Value","DIQ300D.Value.Description","DIQ300D.Count","DIQ300D.Cumulative","DIQ300D.Skip.to.Item"
"30 to 150","Range of Values",589,589,NA
"7777","Refused",2,591,NA
"9999","Don't know",293,884,NA
".","Missing",8013,8897,NA
