"MGQ080.Code.or.Value","MGQ080.Value.Description","MGQ080.Count","MGQ080.Cumulative","MGQ080.Skip.to.Item"
"1","Yes",501,501,NA
"2","No",196,697,NA
"7","Refused",0,697,NA
"9","Don't know",244,941,NA
".","Missing",7350,8291,NA
