"WTSAU18.Code.or.Value","WTSAU18.Value.Description","WTSAU18.Count","WTSAU18.Cumulative","WTSAU18.Skip.to.Item"
"0 to 482687.80188","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
