"OHD25LAM.Code.or.Value","OHD25LAM.Value.Description","OHD25LAM.Count","OHD25LAM.Cumulative","OHD25LAM.Skip.to.Item"
"0 to 13","Range of Values",2385,2385,NA
"99","Calculation cannot be determined",169,2554,NA
".","Missing",4164,6718,NA
