"DX2TOBMC.Code.or.Value","DX2TOBMC.Value.Description","DX2TOBMC.Count","DX2TOBMC.Cumulative","DX2TOBMC.Skip.to.Item"
"1335.67 to 4261.05","Range of Values",414,414,NA
".","Missing",71,485,NA
