"LBDIHGLC.Code.or.Value","LBDIHGLC.Value.Description","LBDIHGLC.Count","LBDIHGLC.Cumulative","LBDIHGLC.Skip.to.Item"
"0","At or above the detection limit",1578,1578,NA
"1","Below lower detection limit",5902,7480,NA
".","Missing",886,8366,NA
