"FSQ220.Code.or.Value","FSQ220.Value.Description","FSQ220.Count","FSQ220.Cumulative","FSQ220.Skip.to.Item"
"0 to 1000","Range of Values",326,326,NA
"77777","Refused",2,328,NA
"99999","Don't know",11,339,NA
".","Missing",10009,10348,NA
