"MPQ120O.Code.or.Value","MPQ120O.Value.Description","MPQ120O.Count","MPQ120O.Cumulative","MPQ120O.Skip.to.Item"
"24","Buttocks - right",163,163,NA
".","Missing",4878,5041,NA
