"WTSPH49.Code.or.Value","WTSPH49.Value.Description","WTSPH49.Count","WTSPH49.Cumulative","WTSPH49.Skip.to.Item"
"0 to 780791.20822","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
