"MCQ260AD.Code.or.Value","MCQ260AD.Value.Description","MCQ260AD.Count","MCQ260AD.Cumulative","MCQ260AD.Skip.to.Item"
"4","Mother's father",217,217,"MCQ250B"
".","Missing",9428,9645,""
