"DX2RLA.Code.or.Value","DX2RLA.Value.Description","DX2RLA.Count","DX2RLA.Cumulative","DX2RLA.Skip.to.Item"
"151.07 to 521.95","Range of Values",466,466,NA
".","Missing",19,485,NA
