"RFXC158.Code.or.Value","RFXC158.Value.Description","RFXC158.Count","RFXC158.Cumulative","RFXC158.Skip.to.Item"
"-6.493 to 6.173","Range of Values",33668,33668,NA
".","Missing",53,33721,NA
