"LBDTSTLC.Code.or.Value","LBDTSTLC.Value.Description","LBDTSTLC.Count","LBDTSTLC.Cumulative","LBDTSTLC.Skip.to.Item"
"0","At or above the detection limit",7181,7181,NA
"1","Below lower detection limit",26,7207,NA
".","Missing",814,8021,NA
