"SSDBZP.Code.or.Value","SSDBZP.Value.Description","SSDBZP.Count","SSDBZP.Cumulative","SSDBZP.Skip.to.Item"
"0.035 to 0.3","Range of Values",2430,2430,NA
".","Missing",0,2430,NA
