"DXXTBSSV.Code.or.Value","DXXTBSSV.Value.Description","DXXTBSSV.Count","DXXTBSSV.Cumulative","DXXTBSSV.Skip.to.Item"
"0","Valid data",4752,4752,NA
"1","Invalid data",152,4904,NA
".","Missing",2830,7734,NA
