"CIQD105.Code.or.Value","CIQD105.Value.Description","CIQD105.Count","CIQD105.Cumulative","CIQD105.Skip.to.Item"
"0 to 28","Range of Values",20,20,NA
"77","Refuse",0,20,NA
"99","Don't know",1,21,NA
".","Missing",829,850,NA
