"BIXS723K.Code.or.Value","BIXS723K.Value.Description","BIXS723K.Count","BIXS723K.Cumulative","BIXS723K.Skip.to.Item"
"61.13 to 818.21","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
