"CIQG28.Code.or.Value","CIQG28.Value.Description","CIQG28.Count","CIQG28.Cumulative","CIQG28.Skip.to.Item"
"0 to 20","Range of Values",21,21,NA
"77","Refused",0,21,NA
"99","Don't know",0,21,NA
".","Missing",829,850,NA
