"LBXPFOS.Code.or.Value","LBXPFOS.Value.Description","LBXPFOS.Count","LBXPFOS.Cumulative","LBXPFOS.Skip.to.Item"
"0.14 to 235","Range of Values",1904,1904,NA
".","Missing",273,2177,NA
