"WTSPH44.Code.or.Value","WTSPH44.Value.Description","WTSPH44.Count","WTSPH44.Cumulative","WTSPH44.Skip.to.Item"
"0 to 786131.31634","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
