"LB2SBU.Code.or.Value","LB2SBU.Value.Description","LB2SBU.Count","LB2SBU.Cumulative","LB2SBU.Skip.to.Item"
"1 to 58","Range of Values",544,544,NA
".","Missing",2,546,NA
