"WHD080A.Code.or.Value","WHD080A.Value.Description","WHD080A.Count","WHD080A.Cumulative","WHD080A.Skip.to.Item"
"10","Ate less food (amount)",1752,1752,NA
".","Missing",4409,6161,NA
