"RXD330.Code.or.Value","RXD330.Value.Description","RXD330.Count","RXD330.Cumulative","RXD330.Skip.to.Item"
"1","Yes",926,926,""
"2","No",605,1531,"End of Section"
"7","Refused",0,1531,"End of Section"
"9","Don't know",3,1534,"End of Section"
".","Missing",3709,5243,""
