"LBXTSH1.Code.or.Value","LBXTSH1.Value.Description","LBXTSH1.Count","LBXTSH1.Cumulative","LBXTSH1.Skip.to.Item"
"0.035 to 55.49","Range of Values",1970,1970,NA
".","Missing",207,2177,NA
