"VTD271B.Code.or.Value","VTD271B.Value.Description","VTD271B.Count","VTD271B.Cumulative","VTD271B.Skip.to.Item"
"1 to 48","Range of Values",2090,2090,NA
"0","Less than one hour",3,2093,NA
"77","Refused",0,2093,NA
"99","Don't know",0,2093,NA
".","Missing",1079,3172,NA
