"DIQ280.Code.or.Value","DIQ280.Value.Description","DIQ280.Count","DIQ280.Cumulative","DIQ280.Skip.to.Item"
"2.3 to 14","Range of Values",490,490,NA
"777","Refused",2,492,NA
"999","Don't know",255,747,NA
".","Missing",8150,8897,NA
