"MCQ240bb.Code.or.Value","MCQ240bb.Value.Description","MCQ240bb.Count","MCQ240bb.Cumulative","MCQ240bb.Skip.to.Item"
"28 to 72","Range of Values",11,11,NA
"80","80 years or older",2,13,NA
"77777","Refused",0,13,NA
"99999","Don't know",0,13,NA
".","Missing",9562,9575,NA
