"VTQ070.Code.or.Value","VTQ070.Value.Description","VTQ070.Count","VTQ070.Cumulative","VTQ070.Skip.to.Item"
"1","Yes",114,114,NA
"2","No",535,649,NA
"7","Refused",0,649,NA
"9","Don't know",1,650,NA
".","Missing",201,851,NA
