"LBXOXYLA.Code.or.Value","LBXOXYLA.Value.Description","LBXOXYLA.Count","LBXOXYLA.Cumulative","LBXOXYLA.Skip.to.Item"
"1.0607 to 159","Range of Values",1978,1978,NA
".","Missing",359,2337,NA
