"BIXS023K.Code.or.Value","BIXS023K.Value.Description","BIXS023K.Count","BIXS023K.Cumulative","BIXS023K.Skip.to.Item"
"344.54 to 956.33","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
