"HOQ260C.Code.or.Value","HOQ260C.Value.Description","HOQ260C.Count","HOQ260C.Cumulative","HOQ260C.Skip.to.Item"
"3","Small furry animal",363,363,NA
".","Missing",9985,10348,NA
