"OSQ030bb.Code.or.Value","OSQ030bb.Value.Description","OSQ030bb.Count","OSQ030bb.Cumulative","OSQ030bb.Skip.to.Item"
"5 to 78","Range of Values",98,98,NA
"77777","Refused",0,98,NA
"99999","Don't know",5,103,NA
".","Missing",5308,5411,NA
