"URDDPMLC.Code.or.Value","URDDPMLC.Value.Description","URDDPMLC.Count","URDDPMLC.Cumulative","URDDPMLC.Skip.to.Item"
"0","At or above the detection limit",8,8,NA
"1","Below lower detection limit",2348,2356,NA
".","Missing",106,2462,NA
