"DR1IFIBE.Code.or.Value","DR1IFIBE.Value.Description","DR1IFIBE.Count","DR1IFIBE.Cumulative","DR1IFIBE.Skip.to.Item"
"0 to 88.7","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
