"URXMCP.Code.or.Value","URXMCP.Value.Description","URXMCP.Count","URXMCP.Cumulative","URXMCP.Skip.to.Item"
"0.28 to 12.92","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
