"VIXKLD1.Code.or.Value","VIXKLD1.Value.Description","VIXKLD1.Count","VIXKLD1.Cumulative","VIXKLD1.Skip.to.Item"
"35.25 to 52.5","Range of Values",6441,6441,NA
"88","Could not obtain",63,6504,NA
".","Missing",413,6917,NA
