"URXMHH.Code.or.Value","URXMHH.Value.Description","URXMHH.Count","URXMHH.Cumulative","URXMHH.Skip.to.Item"
"0.28 to 371.6","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
