"WBXF036.Code.or.Value","WBXF036.Value.Description","WBXF036.Count","WBXF036.Cumulative","WBXF036.Skip.to.Item"
"1029.3022 to 1029.3022","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
