"DR2IATOC.Code.or.Value","DR2IATOC.Value.Description","DR2IATOC.Count","DR2IATOC.Cumulative","DR2IATOC.Skip.to.Item"
"0 to 72.96","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
