"ARQ022C.Code.or.Value","ARQ022C.Value.Description","ARQ022C.Count","ARQ022C.Cumulative","ARQ022C.Skip.to.Item"
"2 to 68","Range of Values",308,308,NA
"777","Refused",0,308,NA
"999","Don't know",6,314,NA
".","Missing",4792,5106,NA
