"MPD040.Code.or.Value","MPD040.Value.Description","MPD040.Count","MPD040.Cumulative","MPD040.Skip.to.Item"
"1 to 52","Range of Values",673,673,NA
"7777","Refused",0,673,NA
"9999","Don't know",6,679,NA
".","Missing",4362,5041,NA
