"ORXH58.Code.or.Value","ORXH58.Value.Description","ORXH58.Count","ORXH58.Cumulative","ORXH58.Skip.to.Item"
"1","Positive",9,9,NA
"2","Negative",4537,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
