"AUXU8KR.Code.or.Value","AUXU8KR.Value.Description","AUXU8KR.Count","AUXU8KR.Cumulative","AUXU8KR.Skip.to.Item"
"-10 to 95","Range of Values",2582,2582,NA
"666","No response",162,2744,NA
"888","Could not obtain",133,2877,NA
".","Missing",254,3131,NA
