"WTIREP50.Code.or.Value","WTIREP50.Value.Description","WTIREP50.Count","WTIREP50.Cumulative","WTIREP50.Skip.to.Item"
"0 to 238360.24085","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
