"WHD120.Code.or.Value","WHD120.Value.Description","WHD120.Count","WHD120.Cumulative","WHD120.Skip.to.Item"
"70 to 530","Range of Values",4764,4764,NA
"7777","Refused",4,4768,NA
"9999","Don't know",230,4998,NA
".","Missing",1163,6161,NA
