"URXCMH.Code.or.Value","URXCMH.Value.Description","URXCMH.Count","URXCMH.Cumulative","URXCMH.Skip.to.Item"
"0.14 to 74.99","Range of Values",2975,2975,NA
".","Missing",177,3152,NA
