"RFXT009.Code.or.Value","RFXT009.Value.Description","RFXT009.Count","RFXT009.Cumulative","RFXT009.Skip.to.Item"
"62 to 71","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
