"CKQ020.Code.or.Value","CKQ020.Value.Description","CKQ020.Count","CKQ020.Cumulative","CKQ020.Skip.to.Item"
"1","Yes",1166,1166,NA
"2","No",893,2059,NA
"7","Refused",0,2059,NA
"9","Don't know",1,2060,NA
".","Missing",4919,6979,NA
