"SSECPTL.Code.or.Value","SSECPTL.Value.Description","SSECPTL.Count","SSECPTL.Cumulative","SSECPTL.Skip.to.Item"
"0","At or above the detection limit",2392,2392,NA
"1","Below lower detection limit",1,2393,NA
".","Missing",0,2393,NA
