"SSTOTAL.Code.or.Value","SSTOTAL.Value.Description","SSTOTAL.Count","SSTOTAL.Cumulative","SSTOTAL.Skip.to.Item"
"1.5 to 10.9","Range of Values",210,210,NA
".","Missing",1879,2089,NA
