"PAXMTSH.Code.or.Value","PAXMTSH.Value.Description","PAXMTSH.Count","PAXMTSH.Cumulative","PAXMTSH.Skip.to.Item"
"0 to 10679.471","Range of Values",1477045,1477045,NA
".","Missing",0,1477045,NA
