"PUD073.Code.or.Value","PUD073.Value.Description","PUD073.Count","PUD073.Cumulative","PUD073.Skip.to.Item"
"1","Yes",465,465,""
"2","No",818,1283,"End of Section"
".","Missing",8839,10122,""
