"DXXTSBMD.Code.or.Value","DXXTSBMD.Value.Description","DXXTSBMD.Count","DXXTSBMD.Cumulative","DXXTSBMD.Skip.to.Item"
"0.369 to 1.336","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
